SRRecordID,ServiceRequestNum,SRType,MethodReceived,CreatedDate,SRStatus,StatusDate,DueDate,CloseDate,Agency,LastActivity,LastActivityDate,Outcome,Address,ZipCode,Neighborhood,CouncilDistrict,PoliceDistrict,PolicePost,Latitude,Longitude,GeoLocation,NeedsSync,IsDeleted,HashedRecord,ESRI_OID,x,y
500VO00000a01DyYAI,25-00360639,HCD-Illegal Dumping,Phone,4/28/2025 4:31:03 PM,Closed (Transferred),5/1/2025 10:17:35 AM,5/3/2025 4:31:02 PM,5/1/2025 10:18:12 AM,Housing                                           ,Service Response,,,"1713 N CHAPEL ST, Baltimore City, 21213",21213,Broadway East,12,Eastern,323,39.310265780705969,-76.590789193657301,"(39.310265780705969, -76.590789193657301)",1,0,System.Byte[],2,-76.59078919,39.3102657800001
500VO00000a056DYAQ,25-00359398,TRT-Traffic Calming,API,4/30/2025 6:18:55 PM,Open,4/30/2025 6:19:33 PM,9/3/2025 6:18:55 PM,,Transportation                                    ,Service Response,,,"2008 MCHENRY ST, Baltimore City, 21223",21223,Carrollton Ridge,9,Southwestern,832,39.284315699074547,-76.649069573124990,"(39.284315699074547, -76.649069573124990)",1,0,System.Byte[],4,-76.6490695699999,39.2843157
500VO00000a06WwYAI,25-00359437,ECC-Miscellaneous Request,API,4/30/2025 6:00:02 PM,Closed (Transferred),4/30/2025 6:00:03 PM,5/2/2025 6:00:02 PM,4/30/2025 6:41:44 PM,ECC                                               ,Service Response,,,"1902 DIXON RD, Baltimore City, 21209",21209,Mount Washington,5,Northwestern,636,39.368973454040493,-76.660703606604272,"(39.368973454040493, -76.660703606604272)",1,0,System.Byte[],6,-76.66070361,39.3689734500001
500VO00000a0AXQYA2,25-00360790,HCD-Illegal Dumping,Phone,4/28/2025 2:10:10 PM,Closed (Transferred),5/1/2025 10:50:56 AM,5/3/2025 2:10:09 PM,5/1/2025 10:51:27 AM,Housing                                           ,Service Response,,,"1148 E NORTH AVE, Baltimore City, 21202",21202,East Baltimore Midway,12,Eastern,322,39.311939562394784,-76.603224935257458,"(39.311939562394784, -76.603224935257458)",1,0,System.Byte[],7,-76.60322494,39.31193956
500VO00000a0dhNYAQ,25-00359572,TEC-Footways Complaint,Phone,4/30/2025 8:09:22 PM,Open,4/30/2025 8:10:35 PM,5/5/2025 8:09:21 PM,,Transportation                                    ,Service Response,,,"1716 LAKESIDE AVE, Baltimore City, 21218",21218,Ednor Gardens-Lakeside,14,Northeastern,411,39.329510226976460,-76.590464254547797,"(39.329510226976460, -76.590464254547797)",1,0,System.Byte[],10,-76.59046425,39.32951023
500VO00000a0DuKYAU,25-00359762,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:02:40 PM,New,4/30/2025 10:02:40 PM,4/30/2025 6:02:40 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],11
500VO00000a0FlXYAU,25-00359460,HCD-Illegal Signs on Public Property,API,4/30/2025 6:57:25 PM,Open,4/30/2025 7:10:03 PM,5/21/2025 6:57:25 PM,,Housing                                           ,Service Response,,,"ELLERSLIE AVE & CHESTNUT HILL W, Baltimore City, 21218",21218,Waverly,14,Northern,515,39.334307304768828,-76.604639991156873,"(39.334307304768828, -76.604639991156873)",1,0,System.Byte[],13,-76.60463999,39.3343073
500VO00000a0gD4YAI,25-00361288,HCD-Sanitation Property,API,4/29/2025 9:34:47 AM,Closed (Transferred),4/29/2025 9:40:03 AM,5/9/2025 9:34:47 AM,5/1/2025 12:06:49 PM,Housing                                           ,Service Response,,,"212 W MONUMENT ST, Baltimore City, 21201",21201,Mount Vernon,11,Central,122,39.297595591533771,-76.619056206267885,"(39.297595591533771, -76.619056206267885)",1,0,System.Byte[],14,-76.6190562099999,39.2975955900001
500VO00000a0guBYAQ,25-00359747,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:51:25 PM,New,4/30/2025 9:51:25 PM,4/30/2025 5:51:25 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],15
500VO00000a0msmYAA,25-00359742,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:50:53 PM,New,4/30/2025 9:50:53 PM,4/30/2025 5:50:53 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],19
500VO00000a0nX5YAI,25-00359765,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:03:57 PM,New,4/30/2025 10:03:58 PM,4/30/2025 6:03:57 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],20
500VO00000a0oMkYAI,25-00359767,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:04:37 PM,New,4/30/2025 10:04:38 PM,4/30/2025 6:04:37 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],21
500VO00000a0PD3YAM,25-00359869,SW-Trash Can/Recycling Container Complaint,API,4/30/2025 3:08:15 PM,Closed (Transferred),5/1/2025 5:50:56 AM,5/1/2025 3:08:15 PM,5/1/2025 6:29:55 AM,Solid Waste                                       ,Service Response,,,"5245 LINDEN HEIGHTS AVE, Baltimore City, 21215",21215,Woodmere,5,Northwestern,633,39.344893178632041,-76.684461020346149,"(39.344893178632041, -76.684461020346149)",1,0,System.Byte[],22,-76.68446102,39.34489318
500VO00000a0pYuYAI,25-00359769,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:06:27 PM,New,4/30/2025 10:06:27 PM,4/30/2025 6:06:27 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],23
500VO00000a0qbSYAQ,25-00359795,WW-Water Leak (Exterior),API,4/30/2025 10:29:17 PM,Closed (Duplicate),7/24/2025 4:58:49 PM,5/2/2025 10:29:17 PM,7/24/2025 4:58:49 PM,Water Wastewater                                  ,Service Response,7/24/2025 4:58:49 PM,Your issue has been reviewed and is considered closed,"4102 KINSWAY, Baltimore City, 21206",21206,Hamilton,2,Northeastern,425,39.344808306950114,-76.543729993823618,"(39.344808306950114, -76.543729993823618)",1,0,System.Byte[],24,-76.54372999,39.3448083100001
500VO00000a0rKYYAY,25-00359737,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:49:47 PM,New,4/30/2025 9:49:47 PM,4/30/2025 5:49:47 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],26
500VO00000a0sgSYAQ,25-00359750,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:52:20 PM,New,4/30/2025 9:52:20 PM,4/30/2025 5:52:20 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],29
500VO00000a0smvYAA,25-00359797,WW-Water Leak (Exterior),API,4/30/2025 10:31:55 PM,Closed (Duplicate),7/24/2025 4:58:49 PM,5/2/2025 10:31:55 PM,7/24/2025 4:58:49 PM,Water Wastewater                                  ,Service Response,7/24/2025 4:58:49 PM,Your issue has been reviewed and is considered closed,"4102 KINSWAY, Baltimore City, 21206",21206,Hamilton,2,Northeastern,425,39.344808306950114,-76.543729993823618,"(39.344808306950114, -76.543729993823618)",1,0,System.Byte[],30,-76.54372999,39.3448083100001
500VO00000a0sYNYAY,25-00359755,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:54:59 PM,New,4/30/2025 9:55:00 PM,4/30/2025 5:54:59 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],31
500VO00000a0ubnYAA,25-00359770,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:07:28 PM,New,4/30/2025 10:07:28 PM,4/30/2025 6:07:28 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],33
500VO00000a0uISYAY,25-00359768,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 10:05:42 PM,New,4/30/2025 10:05:43 PM,4/30/2025 6:05:42 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],34
500VO00000a0utVYAQ,25-00359756,ECC-DHCD Permit Customer Support Information,Phone,4/30/2025 9:55:33 PM,New,4/30/2025 9:55:33 PM,4/30/2025 5:55:33 PM,,ECC                                               ,,,,,,,,,,,,,1,0,System.Byte[],35
500VO00000a1JgkYAE,25-00359858,BGE-StLight(s) Out,API,5/1/2025 5:23:02 AM,Closed (Duplicate),5/25/2025 12:04:12 PM,5/5/2025 5:23:02 AM,5/25/2025 12:04:12 PM,BGE                                               ,Service Response,5/25/2025 12:04:12 PM,Your issue has been reviewed and is considered closed,"5600 SINCLAIR LN, BALTIMORE, 21206",21206,Frankford,2,Northeastern,435,39.325813309244268,-76.536526217945706,"(39.325813309244268, -76.536526217945706)",1,0,System.Byte[],37,-76.53652622,39.3258133100001
500VO00000a1KeMYAU,25-00359851,WW-Water Leak (Exterior),API,5/1/2025 3:21:55 AM,Closed (Duplicate),7/2/2025 5:41:16 PM,5/5/2025 3:21:55 AM,7/2/2025 5:41:16 PM,Water Wastewater                                  ,Service Response,7/2/2025 5:41:16 PM,Your issue has been reviewed and is considered closed,"1717 GWYNNS FALLS PKWY, Baltimore City, 21217",21217,Auchentoroly-Parkwood,7,Western,732,39.316964292617207,-76.649702652472911,"(39.316964292617207, -76.649702652472911)",1,0,System.Byte[],38,-76.6497026499999,39.31696429
500VO00000a1kSNYAY,25-00359871,TRS-48 Hour Parking/Abandoned Vehicle,API,5/1/2025 6:31:21 AM,Closed (Duplicate),5/3/2025 9:36:01 AM,5/8/2025 6:31:21 AM,5/3/2025 9:36:01 AM,Transportation                                    ,Service Response,5/3/2025 9:36:01 AM,Your issue has been reviewed and is considered closed,"HILLTOP AVE & NORTHWAY DR, Baltimore City, 21234",21234,North Harford Road,3,Northeastern,424,39.360309358338753,-76.541010916244815,"(39.360309358338753, -76.541010916244815)",1,0,System.Byte[],39,-76.54101092,39.36030936
500VO00000a1qO4YAI,25-00359877,SW-Dirty Street,Phone,5/1/2025 6:40:24 AM,Closed (Duplicate),5/1/2025 2:21:00 PM,5/12/2025 6:40:23 AM,5/1/2025 2:21:00 PM,Solid Waste                                       ,Service Response,5/1/2025 2:21:00 PM,Work completed,"3201 SHANNON DR, Baltimore City, 21213",21213,Belair-Edison,13,Eastern,332,39.324551321070871,-76.565206689754632,"(39.324551321070871, -76.565206689754632)",1,0,System.Byte[],40,-76.56520669,39.3245513200001
500VO00000a1uY8YAI,25-00360259,TRM-Potholes,API,4/30/2025 10:19:22 PM,Closed (Transferred),5/1/2025 9:12:40 AM,5/2/2025 10:19:22 PM,5/1/2025 9:06:32 AM,Transportation                                    ,Service Response,,,"200 BLK LLOYD ST, Baltimore City, 21202",21202,Little Italy,12,Central,132,39.287448631975067,-76.600259094429092,"(39.287448631975067, -76.600259094429092)",1,0,System.Byte[],42,-76.60025909,39.28744863
500VO00000a1woTYAQ,25-00359880,TRC-Conduit Investigation,Internal,5/1/2025 6:42:19 AM,Open (Duplicate),5/1/2025 6:42:29 AM,5/15/2025 6:42:19 AM,,Transportation                                    ,Service Response,,,"2300 BROENING HWY, Baltimore City, 21224",21224,Canton Industrial Area,1,Southeastern,231,39.263160275690424,-76.545780107193877,"(39.263160275690424, -76.545780107193877)",1,0,System.Byte[],43,-76.54578011,39.2631602800001
500VO00000a1zERYAY,25-00360035,TRS-Parking Complaint,API,5/1/2025 8:12:16 AM,Closed (Duplicate),5/1/2025 9:09:30 AM,5/2/2025 8:12:16 AM,5/1/2025 9:09:30 AM,,Service Response,5/1/2025 9:09:30 AM,Your issue has been reviewed and is considered closed,"1710 CASADEL AVE, Baltimore City, 21230",21230,Morrell Park,10,Southern,924,39.263583042221484,-76.658255520832441,"(39.263583042221484, -76.658255520832441)",1,0,System.Byte[],45,-76.65825552,39.2635830400001
